,Dataset,iteration,isMasked,threshold,MALE_test,RMSE_test,MAPE_test,MALE_train,RMSE_train,MAPE_train
0,fc,6,True,0.35,0.09918904739343355,23273.146157617346,6.494737580128213,0.09645082239785872,22707.35594774381,6.3281447804525435
0,fc,6,True,0.6,0.09960834372641268,23116.39210822354,6.5744512038934815,0.09429255893816497,22013.67863561448,6.170703437291808
0,fc,6,True,0.8,0.10046385067900175,23286.502419952114,6.594175742764796,0.09198340301894073,21582.362845561587,5.93314560271357
0,fc,6,True,1.0,0.09989105072133136,23166.4102333109,6.588753628653307,0.09700321229023152,22547.994995377474,6.367571535509467
0,fc,7,False,0.1,0.0993294584970331,23231.0207803745,6.505111825980406,0.09526879634073664,22320.656733946937,6.2533971695752975
0,fc,7,True,0.01,0.1017989630065461,23676.116737303222,6.643214456106869,0.09580197288002379,22323.438180410427,6.287159545552826
0,fc,7,True,0.05,0.0988750508168713,23049.68271765953,6.438438646477645,0.09423339456830357,21998.495095782502,6.169936255667917
0,fc,7,True,0.1,0.09893633845351338,23153.964510466874,6.397517690445278,0.098257758696358,23110.496748406487,6.382872209821391
0,fc,7,True,0.2,0.09983116882130556,23275.8281792897,6.607114633413522,0.09576114046036098,22473.957110332733,6.278640929223537
0,fc,7,True,0.35,0.10005173190240461,23546.249260757435,6.517425410067842,0.09188735241169868,21712.20630466726,5.911329732889747
0,fc,7,True,0.6,0.09976539976420376,23171.749821171747,6.551177446942044,0.09739811080848723,22758.45872212824,6.3338988095237925
0,fc,7,True,0.8,0.09975009176332535,23251.4690505186,6.581093034207338,0.09976788834928615,23279.66977184466,6.501490379443584
0,fc,7,True,1.0,0.10061807914300429,23117.80774430199,6.709732236842086,0.09797129732638461,22586.04541470205,6.478191871599323
0,fc,8,False,0.1,0.09856716014683602,22984.63517467449,6.428398447503249,0.09501833376459415,22384.39365895991,6.181887392781519
0,fc,8,True,0.01,0.10093384773178467,23371.764399602373,6.630696255165256,0.09700838264653533,22468.698062010655,6.406512558023881
