,Dataset,iteration,isMasked,threshold,MALE_test,RMSE_test,MAPE_test,MALE_train,RMSE_train,MAPE_train
0,sp,7,True,1.0,0.14315418871468608,163077.85885440838,10.677668011083732,0.1375645354648113,157337.8410621294,9.955310590930457
0,sp,8,False,0.1,0.13954234859509557,160512.36055318077,10.26358396464647,0.1348100248491599,155737.14531362025,9.672613676264074
0,sp,8,True,0.01,0.1420148201637698,163569.47245984784,10.432121562210078,0.13743776154173679,158443.01628640463,9.827746713458044
0,sp,8,True,0.05,0.14102823844248538,163225.79834378805,10.39134051579302,0.1367118494925572,156914.81602861284,9.835325745558393
0,sp,8,True,0.1,0.1412497886583503,161842.2736836585,10.390454477420489,0.13384362259376445,153604.1671908181,9.518536130536104
0,sp,8,True,0.2,0.1431139930972777,163903.8417720979,10.468938319265114,0.1353896708282925,156255.94181504459,9.63116170634919
0,sp,8,True,0.35,0.14208591005989732,161351.59907223543,10.549330276268124,0.13652850981610962,156716.3110521448,9.900904626623324
0,sp,8,True,0.6,0.14396882974871625,163345.82270202533,10.742568286371498,0.13467086614785914,154643.63599757067,9.775124048826916
0,sp,8,True,0.8,0.14490524820393824,165218.68571480864,10.806420733578893,0.13653717882289418,156690.5272000987,9.90235938285567
0,sp,8,True,1.0,0.14532915587543424,164496.75752007132,10.882879340277706,0.13836266636991684,157962.26045225505,10.085054888507763
0,sp,9,False,0.1,0.13916645320059126,159700.3648690964,10.149521844823,0.13199515370930112,152776.25763901672,9.338292605638093
0,sp,9,True,0.01,0.14289574728593632,163686.69045979905,10.59089702469332,0.13778160160215638,157568.7391361641,9.957500631313106
0,sp,9,True,0.05,0.14069431101344818,161094.67694552644,10.443448095238052,0.13611517143402344,155929.2082391978,9.785962660421479
0,sp,9,True,0.1,0.14187388311945862,163264.16577372962,10.385007305194813,0.13545796352766365,156132.65218959644,9.715185336362781
0,sp,9,True,0.2,0.1424059242385364,163022.27203444563,10.463027497910684,0.1369961577398724,157855.75076354333,9.833165992647027
0,sp,9,True,0.35,0.14273828317672854,162476.0373435699,10.633026315789484,0.134608959538877,155465.19361709565,9.69078274782135
0,sp,9,True,0.6,0.14448882874318741,165375.99920422584,10.85150524484029,0.13530178350252178,155095.47084737188,9.770975391799059
0,sp,9,True,0.8,0.1440935672569858,163473.69447553513,10.821902399050817,0.1384157182772907,158797.16472746432,10.082182946715443
