Address,City,Lat,Lon
Ambon 5,Barneveld,52.1283657,5.576137699999999
Hollandseweg 125,Wageningen,51.9855604,5.6893699
Hazeleger 2,Hoevelaken,52.17114609999999,5.464977
Granietstraat 57,Oss,51.7644628,5.5015585
Oldenkottebrink 11,Enschede,52.1857835,6.8819399
Witkopeend 5,Uithoorn,52.2347537,4.8124778
Stationsweg 26 D,Oosterbeek,51.9912453,5.8393088
Smaragd 6,Mijdrecht,52.2149353,4.8687113
Driek van Erpstraat 21,Oss,51.7705335,5.5175816
Arkelse Onderweg 76,Gorinchem,51.8428735,4.985064599999999
Scholeksterweide 22,Renswoude,52.075429,5.547422
Pending 7,Hoogvliet Rotterdam,51.8564424,4.3705489
Heeskesacker 1150,Nijmegen,51.8357961,5.7903136
Rembrandtkade 16,Wormerveer,52.48168219999999,4.805324
Kikkerveen 308,Spijkenisse,51.836305,4.3390027
Schuitenberg 25,Roermond,51.1910864,5.9886554
Kilianusstraat 5,Stein,50.9593696,5.7671055
Irenelaan 24,Vught,51.656456,5.293958
Ebro 38,Doetinchem,51.9526905,6.2595842
Koningsweg 3,Nijverdal,52.3484109,6.47565
Staartmolen 19,Vianen (UT),51.9820585,5.0717649
Hyacintenlaan 67,Hilversum,52.2168465,5.1641249
Braamstraat 33,Monster,52.0309203,4.1764796
Melis Stokelaan 50,Beverwijk,52.4912617,4.6881178
Telefoonstraat 5 B en C,Tilburg,51.5571849,5.0847318
De Voorreep 63,Erica,52.7197468,6.924616899999999
Julianastraat 37 D,Hooge Zwaluwe,51.689846,4.741707
Jan Hendrik op den Veldestraat 12,Zaandam,52.4388805,4.8376643
Goeman Borgesiusstraat 2,Nijmegen,51.8071376,5.8356636
Laan van Osnabrück 5,Haarlem,52.3606212,4.6504371
Traverse 6,Hellevoetsluis,51.8318632,4.13181
Zijlvest 51,Haarlem,52.3813317,4.6285208
Vogelenzang 13,Sliedrecht,51.823768,4.7870746
Tarwedreef 76,Doetinchem,51.9665259,6.252264599999999
Don Rualaan 81,'s-Heerenberg,51.8730436,6.2545424
Van der Valk Boumanweg 228,Leiderdorp,52.1603645,4.51643
Ericasestraat 25,Erica,52.7376338,6.9169664
W. de Vries Robbéweg 46,Gorinchem,51.8374505,4.9788339
Stationsstraat 35,Roosendaal,51.5383922,4.4566156
Albertina van Nassaustraat 30,Eindhoven,51.4379998,5.4664927
Torenstraat 17,Nijkerk,52.2248844,5.4823891
Hofmeesterij 58,Huissen,51.9366448,5.925541
Padakker 63,Breda,51.6059981,4.7352909
Egelzoom 8,Pijnacker,52.002747,4.4409529
Weteringkade 34,Noordwijk (ZH),52.2397734,4.445884599999999
Potgieterstraat 71,Nijverdal,52.3516364,6.4744993
Poelakkerweg 11,Lunteren,52.08217579999999,5.626547899999999
Willibrordusstraat 1,'s-Heerenhoek,51.4532383,3.7734573
Akkersvoorde 22,Spijkenisse,51.8350275,4.322318399999999
Dentgenbachweg 11,Kerkrade,50.89040929999999,6.0467984
Schubertstraat 20,Amsterdam,52.3476976,4.8777748
Minahassastraat 63,Haarlem,52.4073131,4.652402299999999
Jacob van Ruysdaelstraat 20,Hoogezand,53.1648585,6.7662708
Loodglans 8,Heerhugowaard,52.6593318,4.820376899999999
Mgr. Nolensstraat 40,Panningen,51.3251606,5.980491199999999
Zutphenseweg 111,Lochem,52.144227,6.3635858
Zandgolf 34,Eindhoven,51.4499933,5.409141399999999
Sandenburglaan 2,Helmond,51.491097,5.6988151
Lunterenstraat 53,Tilburg,51.5880316,4.9998156
Dorpsstraat 14,Ellemeet,51.7293882,3.8167696
Dorpsstraat 21,Zwartewaal,51.8819935,4.2233791
Sterappel 26,Tiel,51.8876176,5.4278765
Pijperhof 7,Raamsdonksveer,51.6892425,4.8789811
Klapwijkseweg 51,Pijnacker,52.0185744,4.4389353
Herfst 73,Dronten,52.5046287,5.722924799999999
Mina Krusemanpark 130,Heemskerk,52.5223774,4.68289
Berliozstraat 3,Alkmaar,52.64376189999999,4.7355771
Valeriaandonk 1,Spijkenisse,51.8294946,4.3272074
Crocussenstraat 13,Lisse,52.2577816,4.5611161
Haverkampsweg 7,Epe,52.3432324,5.9840684
Korfstraat 5,Kudelstaart,52.2375351,4.761648
Halsterveld 1,Houten,52.0421426,5.1754279
't Slotje 24,Beek en Donk,51.5315456,5.6375588
Greppelland 8,Nijkerk,52.2145948,5.4702665
De Bargies 65,Emmen,52.7699641,6.9558319
Beekseweg 8,Wehl,51.95905699999999,6.2095549
Heilige Stoel 5534,Wijchen,51.8162495,5.7173625
Koningsspil 7,Sint Pancras,52.66472839999999,4.7938659
Dongedal 31,Capelle aan den IJssel,51.93715350000001,4.605802499999999
Diepenbeekstraat 57,Breda,51.61003609999999,4.7881778
Hoefslagstraat 1,Ootmarsum,52.4048263,6.909745
Vossenlaan 1,Bergen (LI),51.6023311,6.0598097
Krompbunderstraat 6,Stein,50.9671613,5.7708429
Hoveniersberg 14,Roosendaal,51.5150799,4.4359351
Vogelakker 24,Almere,52.3378699,5.3217405
Deldensestraat 35,Borne,52.294663,6.745978000000001
Jonathan 31,Hardinxveld-Giessendam,51.8272476,4.814286
van Rechterenlaan 22,Grave,51.74839230000001,5.748787999999999
Vincent van Goghstraat 4,Lisse,52.24480639999999,4.5588498
Duin en Beeklaan 14,Bloemendaal,52.4233266,4.6175494
Porta Toga 10,Houten,52.0178251,5.181254399999999
van Aerschotstraat 13,Zevenbergen,51.64805250000001,4.6047538
Erasmussingel 50,Arnhem,51.9450461,5.894936899999999
Maalsteen 20,Borger,52.9181883,6.7875466
Perzikkruid 38,Zevenbergen,51.6387138,4.5910446
Douzastraat 8,Noordwijk (ZH),52.23254739999999,4.4453778
Drechterland 15,Purmerend,52.4955908,4.9697042
Barneveldseweg 16,Otterlo,52.1055098,5.7461891
Oudewal 20,Warmenhuizen,52.7199396,4.7317221
Veldbloemenweg 143,Zaandam,52.4592308,4.8262641
Broenskuil 7,Herten,51.1764749,5.9593937
Balsemkruid 35,Rotterdam,51.9579534,4.551919499999999
Prof. Oudemansstraat 75,Delft,52.0048568,4.3801383
Johan Abersonstraat 48,Purmerend,52.49160269999999,4.960341199999999
Nieuwstad 64,Burgum,53.1980143,6.0089771
Wilsonstraat 40,Goes,51.5177552,3.8775657
Graaf Janstraat 2,Zuid-Beijerland,51.751259,4.366043599999999
Humperdinckstraat 59,Tilburg,51.5814786,5.080285
Ambachtstraat 29,Wageningen,51.97300500000001,5.671063999999999
Witte Ring 65,Assendelft,52.4874933,4.7420319
De Weem 2,Westervoort,51.9603584,5.9629086
Zwarte Ring 83,Assendelft,52.4890059,4.7438763
Selzerbeek 15,Zaandam,52.470568,4.845496400000001
Argostraat 22,Eindhoven,51.465713,5.4949561
Rijksstraatweg 109,Heemskerk,52.5102273,4.6531568
Tak van Poortvlietstraat 2 a,Zutphen,52.1334128,6.206158599999999
Hillegommerdijk 355 a,Beinsdorp,52.28825699999999,4.5942721
Glazenmaker 8,Oost West en Middelbeers,51.4636795,5.2547877
Mars 5,Schijndel,51.6196625,5.4334973
Bergmolen 47,Alphen aan den Rijn,52.1251121,4.668721199999999
Ridderhoflaan 91,Koudekerk aan den Rijn,52.1354013,4.6047144
Johannes Husslaan 11,Amstelveen,52.2963542,4.862943899999999
Straatweide 2,Prinsenbeek,51.6032539,4.703846299999999
Kooikersdreef 705,Apeldoorn,52.1973559,5.987457099999999
Janneke van der Plaatstraat 9,Zutphen,52.127221,6.2300953
Landmetersveld 803,Apeldoorn,52.1898478,5.9996198
Moggendries 30,Eindhoven,51.4412901,5.5241853
Zeeweg 202,IJmuiden,52.45491089999999,4.627815399999999
Eikelaar 4,Geldrop,51.414701,5.5595994
Boomstede 33,Maarssen,52.1218478,5.0323988
De Wildert 18,Berkel en Rodenrijs,51.9956986,4.4804487
Otellostraat 6,Spijkenisse,51.8356483,4.3166647
Ambrosiushof 47,Haarsteeg,51.7118901,5.203259
Runde 40,Assen,52.9995904,6.537210699999999
Paukeslag 142,Etten-Leur,51.5660772,4.627791
Herfststraat 3,Amsterdam,52.3064388,5.0165905
Sweelinckstraat 53,Numansdorp,51.7376934,4.4328962
Asserpark 4,Wageningen,51.9777287,5.678874899999999
Bouvigne 15,Den Bosch,51.7225037,5.3064107
Loenerveld 62,Nieuw-Vennep,52.2693253,4.604892299999999
Meers 5,Geldrop,51.4288889,5.5466441
Overslaggronden 15,Kampen,52.5354403,5.9326307
Bakemastraat 7,Amersfoort,52.1838797,5.4009654
Van Oldenbarneveltstraat 46,Nijkerk,52.2166994,5.4809626
Lookhof 1,Angeren,51.9176428,5.9596149
Het Kasteel 216,Apeldoorn,52.212162,6.0141005
Het Rinket 6,Meerstad,53.23284,6.655873
Spoorstraat 126,Leeuwarden,53.1983707,5.813087899999999
Uiterdijkenweg 47 A,Marknesse,52.7438686,5.9237444
Rijnsburgerweg 94,Leiden,52.1712511,4.4782361
Sportlaan 31,Werkendam,51.8076115,4.9012851
Hertenkamp 21,Tholen,51.5309244,4.2121387
Havikhorst 87,Roermond,51.1861869,6.024288299999999
Schuurmanslaantje 6,Nieuwleusen,52.5712564,6.289864
Boerenhoek 87,Hoogvliet Rotterdam,51.8621217,4.363091499999999
Veldkampje 1,Dalfsen,52.5336276,6.3119556
Leeuwerik 7,Bergambacht,51.9373552,4.7912227
Boomgaard 9,Schoonhoven,51.9525204,4.8432204
Bogerdweg 24,Dreischor,51.6861524,3.9803705
Rochtstraat 6,Sleen,52.7724939,6.805322899999999
Haarskamp 69,Ruurlo,52.0877807,6.455875499999999
Kastanjelaan 27,Lochem,52.16022359999999,6.4208636
Bladgroen 34,Zoetermeer,52.0424112,4.4948796
Willem-Alexanderstraat 24,Duiven,51.9522135,6.025861099999999
Bosstraat 3,Swalmen,51.2339462,6.0407984
Hoofdstraat 25,Sint Jansteen,51.2620348,4.051879899999999
Olieslagweg 96,Enschede,52.2315915,6.856811599999999
Douwelaan 2 C,Oentsjerk,53.2497512,5.898084
Karrevracht 6,Uden,51.6430549,5.616770499999999
Valeriusstraat 50,Almelo,52.3610349,6.6411799
Rederijkershoeve 115,Apeldoorn,52.1922358,6.0079027
Parkwijklaan 205,Almere,52.3706957,5.2545968
Weegbree 27,Gendringen,51.8746436,6.3736178
Max Havelaarburg 19,Capelle aan den IJssel,51.9478442,4.5785707
Ridder van Asenrodeweg 53,Roermond,51.1933535,6.0475125
De Nieuwesluis 15 b,Zwartsluis,52.6411156,6.076111399999999
Doornseweg 18,Langbroek,52.0122024,5.327191300000001
Schans 4,Oost-Souburg,51.4725665,3.6018895
Elzenlaan 4,Dordrecht,51.7933587,4.7049565
Willem de Zwijgerstraat 6,Nijverdal,52.367298,6.4563278
Pimpernelstraat 13,Utrecht,52.0886351,5.0619491
Margrietstraat 13,Wijchen,51.81070949999999,5.7352968
Alexandriet 4,Mijdrecht,52.2164317,4.860911799999999
Einsteinlaan 7,Pijnacker,52.0243273,4.4262367
Kerkstraat 25,Berghem,51.7690807,5.5674112
Anna Johanna van Nassaustraat 7,Vianen (UT),51.9869632,5.0726094
IJsselkade 24,IJsselstein,52.0196716,5.0497964
Wethouder Steinmetzstraat 37,Amsterdam,52.2952119,4.9953786
Brouwersdam 21,Hoofddorp,52.3133014,4.6353073
Voorstraat 6,Blije,53.3517672,5.860721499999999
Auroralaan 50,Apeldoorn,52.2117724,5.982734
Izak Osstraat 27,Zwolle,52.4996378,6.0840761
Landpaal 3,Huissen,51.94699689999999,5.9336746
Voirt 74,Nuenen,51.4720145,5.5378935
Willem Berkhemerstraat 1,Wageningen,51.9718765,5.650509
Markstraat 7,Dordrecht,51.8177568,4.6982373
Broekweg 17,Horst,51.4500851,6.0662066
Sternweg 2,Groet,52.7225804,4.6650526
Willem Claijstraat 15,Berkhout,52.64191899999999,5.0007299
Minoes erf 79,Capelle aan den IJssel,51.9514624,4.5755158
Herenstraat 69,Slagharen,52.6315295,6.5493353
Brasemlaan 4,Helmond,51.4613111,5.635258900000001
Vogelbos 33,Prinsenbeek,51.6051106,4.713299699999999
Hoofdspoor 6,Assendelft,52.49375,4.7536299
Zwolseweg 69,Balkbrug,52.6001723,6.3843397
